cnpj,cnpj_basico,matriz_filial,nome_fantasia,razao_social,situacao_cadastral,situacao,data_situacao,data_inicio,ano_inicio,cnae_principal,cnae_descricao,cnae_secundaria,logradouro,numero,bairro,cep,municipio_codigo,municipio,uf,motivo_situacao,natureza_juridica,natureza_juridica_desc,capital_social,porte_codigo,porte,mei,optante_simples
02456715000189,02456715,Matriz,SUPERMERCADO BELO VALE,SUPERMERCADO BELO VALE LTDA,02,Ativa,2005-11-03,1998-02-27,1998,4721102,Padaria e confeitaria com predominância de revenda,"4712100,5611201,5611203",IRINEU DE QUEIROZ TEIXEIRA,250,BELO VALE,33113040,5155,SANTA LUZIA,MG,SEM MOTIVO,2062,Sociedade Empresária Limitada,"20000,00",03,Empresa de pequeno porte,Não MEI,Sim
02457350000107,02457350,Matriz,,02.457.350 FRANCISCO DE ASSIS RIBEIRO SUBRINHO,02,Ativa,2005-06-11,1998-03-11,1998,5611201,Restaurantes e similares,"5611204,5611203",DEMOSTENES CARVALHO,615,MONTE CASTELO,60320515,1389,FORTALEZA,CE,SEM MOTIVO,2135,Empresário (Individual),"7000,00",01,Microempresa,MEI,Sim
02457391000101,02457391,Matriz,,NELSUCO'S LANCHES LTDA,02,Ativa,2005-11-03,1998-03-03,1998,5611203,"Lanchonetes, casas de chá, de sucos e similares",,JULIETAANA DA FONSECA,SN,PILAR,25235000,5833,DUQUE DE CAXIAS,RJ,SEM MOTIVO,2062,Sociedade Empresária Limitada,"5000,00",01,Microempresa,Não MEI,Sim
02457619000155,02457619,Matriz,PADARIA TUTTI PANI,PADARIA E CONFEITARIA R RAMPINELLI LTDA,02,Ativa,2000-12-23,1998-03-30,1998,4721102,Padaria e confeitaria com predominância de revenda,"5611203,5620102,4729699",PADRE AFONSO LEMOS,152,CACHOEIRA DO CAMPO,35410000,4921,OURO PRETO,MG,SEM MOTIVO,2062,Sociedade Empresária Limitada,"30000,00",03,Empresa de pequeno porte,Não MEI,Não
02457639000126,02457639,Matriz,,MARIA NASCIMENTO DOS SANTOS - MARMITARIA,02,Ativa,2005-08-06,1998-04-07,1998,5611201,Restaurantes e similares,,JOSE BONIFACIO,1239,OLARIA,76801290,0003,PORTO VELHO,RO,SEM MOTIVO,2135,Empresário (Individual),"0,00",01,Microempresa,Não MEI,Sim
02457793000106,02457793,Matriz,CANTINA GAIVOTA,ANTONIO JAIRO MERCES DE ALMEIDA,02,Ativa,2005-11-03,1998-02-26,1998,5611201,Restaurantes e similares,"4723700,5620102,5620104,5611203",MARTIM AFONSO DE SOUZA ESQUINA COM RUA BANDEIRANTES,05,CENTRO,11990000,6299,CANANEIA,SP,SEM MOTIVO,2135,Empresário (Individual),"20000,00",01,Microempresa,Não MEI,Sim
02457872000109,02457872,Matriz,PASTELARIA PALLES,PASTELARIA PALLES DE PETROPOLIS LTDA,02,Ativa,2022-03-25,1998-02-09,1998,5611203,"Lanchonetes, casas de chá, de sucos e similares",5611201,CHILE,191,ALTO DA SERRA,25635180,5877,PETROPOLIS,RJ,SEM MOTIVO,2062,Sociedade Empresária Limitada,"350000,00",05,Demais,Não MEI,Não
02458142000122,02458142,Matriz,RESTAURANTE CHAMEGO,NILDA DA SILVA PEREIRA REFEICOES,02,Ativa,2021-01-17,1998-03-31,1998,5611203,"Lanchonetes, casas de chá, de sucos e similares",,TENENTE DIVALDO CARNEIRO PEREIRA,470,JARDIM DO LAGO CONTINUACAO,13051054,6291,CAMPINAS,SP,SEM MOTIVO,2135,Empresário (Individual),"4000,00",01,Microempresa,Não MEI,Não
02458287000123,02458287,Matriz,PESQUE & PAGUE SALVATAMI,LIDIA AKEMI FUJITANI-LANCHONETE E RESTAURANTE LTDA,02,Ativa,2005-01-08,1998-03-27,1998,5611203,"Lanchonetes, casas de chá, de sucos e similares",5611201,TAKAMI,SN,RURAL,87660000,7743,PARANACITY,PR,SEM MOTIVO,2062,Sociedade Empresária Limitada,"20000,00",01,Microempresa,Não MEI,Sim
02458373000136,02458373,Matriz,RESTAURANTE E CHURRASCARIA BATISTELLO,RESTAURANTE E CHURRASCARIA BATISTELLO DE CACAPAVA LTDA,02,Ativa,2005-09-03,1998-04-07,1998,5611201,Restaurantes e similares,5611203,PRESIDENTE DUTRA,S/N,VILA GALVAO,12286160,6271,CACAPAVA,SP,SEM MOTIVO,2062,Sociedade Empresária Limitada,"50000,00",03,Empresa de pequeno porte,Não MEI,Sim
02458684000103,02458684,Matriz,CALDOS E DRINK'S,LUCIA FELIPE PEREIRA,02,Ativa,2005-11-03,1998-04-01,1998,5611201,Restaurantes e similares,,DA SAUDADE,676,CENTRO,73850000,9325,CRISTALINA,GO,SEM MOTIVO,2135,Empresário (Individual),"0,00",01,Microempresa,Não MEI,Sim
